Source,Target
383498,209112
383498,1452
383498,155
383498,272
383498,49521
402900,1572
402900,75656
402900,949
402900,489931
402900,259316
466282,43923
466282,449176
466282,308369
466282,12689
466282,9880
363088,141052
363088,1452
363088,364
363088,209112
363088,49521
454983,449176
454983,84892
454983,101299
454983,417678
454983,272693
293660,1452
293660,141052
293660,1924
293660,8536
293660,9531
455980,460019
455980,2770
455980,4922
455980,380
455980,172385
462919,621
462919,224141
462919,429417
462919,15121
462919,2976
283995,299536
283995,1924
283995,1452
283995,8536
283995,9738
354912,6477
354912,745
354912,4011
354912,254470
354912,228326
194662,98566
194662,272
194662,14
194662,155
194662,263115
269149,278927
269149,346364
269149,101299
269149,27576
269149,338970
177572,479
177572,281957
177572,357096
177572,3134
177572,2048
150540,12092
150540,812
150540,260513
150540,11360
150540,2300
455207,11931
455207,8966
455207,9880
455207,281957
455207,222935
93456,49519
93456,20352
93456,207703
93456,116711
93456,10054
400155,49017
400155,277
400155,76492
400155,7131
400155,124905
291805,467938
291805,9654
291805,241554
291805,260346
291805,281957
487558,324786
487558,1883
487558,363676
487558,769
487558,424
98566,272
98566,1930
98566,604
98566,263115
98566,68721
458423,224141
458423,11224
458423,10020
458423,11631
458423,812
207703,1726
207703,102899
207703,99861
207703,1771
207703,1452
454619,3134
454619,357096
454619,281957
454619,156022
454619,238636
181533,1593
181533,863
181533,81
181533,122
181533,18360
460668,2062
460668,453
460668,745
460668,694
460668,433
335797,260514
335797,258509
335797,9836
335797,9986
335797,9598
159824,76492
159824,766
159824,9479
159824,671
159824,672
474335,2300
474335,449749
474335,773
474335,13260
474335,1696
399174,531
399174,263109
399174,387592
399174,533
399174,530
808,809
808,10882
808,10140
808,10020
808,150689
18785,10029
18785,45243
18785,627
18785,429733
18785,12593
437557,376660
437557,11631
437557,391713
437557,80271
437557,12689
353486,333339
353486,258489
353486,131631
353486,328387
353486,70160
214756,250546
214756,10193
214756,72105
214756,11187
214756,11249
420814,5915
420814,424
420814,769
420814,318846
420814,316029
507562,81
507562,14069
507562,198375
507562,8392
507562,128
270946,10140
270946,10527
270946,49013
270946,9836
270946,9325
166426,1865
166426,22
166426,58
166426,285
166426,109424
449176,376867
449176,398818
449176,184352
449176,26280
449176,511785
455656,19840
455656,272693
455656,10625
455656,37725
455656,2105
313369,10947
313369,525
313369,11887
313369,342473
313369,6477
20352,342473
20352,93456
20352,309809
